ReDATA_README_Tool,2021-04-18,1,1
ReDATA_README_Tool,2021-04-19,12,1
ReDATA_README_Tool,2021-04-20,1,1
ReDATA_README_Tool,2021-04-21,1,1
ReQUIAM,2021-04-12,17,3
ReQUIAM,2021-04-14,19,3
ReQUIAM,2021-04-15,1,1
ReQUIAM,2021-04-19,16,2
ReQUIAM,2021-04-20,32,9
ReQUIAM,2021-04-22,14,3
ReQUIAM_csv,2021-04-19,17,3
ReQUIAM_csv,2021-04-20,8,5
ReQUIAM_csv,2021-04-21,1,1
data-service-landscape-scan,2021-04-14,1,1
data-service-landscape-scan,2021-04-20,1,1
data-viz-challenge,2021-04-12,2,2
data-viz-challenge,2021-04-18,1,1
data-viz-challenge,2021-04-20,1,1
data-viz-evaluations,2021-04-11,1,1
data-viz-evaluations,2021-04-17,1,1
data-viz-evaluations,2021-04-23,1,1
figstats,2021-04-20,1,1
redata-commons,2021-04-09,1,1
redata-commons,2021-04-11,1,1
redata-commons,2021-04-14,19,3
redata-commons,2021-04-15,18,8
redata-commons,2021-04-16,1,1
redata-commons,2021-04-18,1,1
redata-commons,2021-04-20,39,9
redata-commons,2021-04-21,1,1
uptime,2021-04-09,62,5
uptime,2021-04-10,82,5
uptime,2021-04-11,79,4
uptime,2021-04-12,78,6
uptime,2021-04-13,78,6
uptime,2021-04-14,84,6
uptime,2021-04-15,81,6
uptime,2021-04-16,78,4
uptime,2021-04-17,82,4
uptime,2021-04-18,82,6
uptime,2021-04-19,77,4
uptime,2021-04-20,78,5
uptime,2021-04-21,74,5
uptime,2021-04-22,78,8
uptime,2021-04-23,4,3
